ID,nr,datum,schlag,objekt,objnr,beschrei,zustand,bild,bemerkun,handlung,x,y,position,gpstime,ggatime,time,kunde,bearbeit,lage,da,dks,sam,sau,geom,proc
"20001344","20001344",09.02.,,Sonstiger Punkt,"28",Obstacle,,,,,,,"{""mode"":2,""speedKn"":""0.051"",""pdop"":""0.81"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.95"",""lon"":""13.8846797"",""oht"":""120.285"",""systime"":1675935479241,""time"":1675931878000,""hdop"":""0.50"",""lat"":""51.0036594"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""120.28543.582"",","1675931878000","1675931878000","1675935484.148016",,,,,,,,,$Format:%H$:newRecord
"20001345","20001345",09.02.,,Sonstiger Punkt,"29",Obstacle,,,,,,,"{""mode"":2,""speedKn"":""0.005"",""pdop"":""0.81"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.95"",""lon"":""13.8850345"",""oht"":""120.453"",""systime"":1675935550225,""time"":1675931949000,""hdop"":""0.50"",""lat"":""51.0034923"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""120.45343.582"",","1675931949000","1675931949000","1675935555.120537",,,,,,,,,$Format:%H$:newRecord
"20001346","20001346",09.02.,,Sonstiger Punkt,"30",Obstacle,,,,,,,"{""mode"":2,""speedKn"":""0.091"",""pdop"":""0.81"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.95"",""lon"":""13.8854420"",""oht"":""119.490"",""systime"":1675935583781,""time"":1675931983000,""hdop"":""0.50"",""lat"":""51.0032852"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""119.49043.582"",","1675931983000","1675931983000","1675935588.590622",,,,,,,,,$Format:%H$:newRecord
"20001347","20001347",09.02.,,Sonstiger Punkt,"31",Obstacle,,,,,,,"{""mode"":2,""speedKn"":""0.062"",""pdop"":""0.81"",""ght"":""43.581"",""satView"":""05"",""vdop"":""0.95"",""lon"":""13.8862111"",""oht"":""119.857"",""systime"":1675935639711,""time"":1675932039000,""hdop"":""0.50"",""lat"":""51.0036523"",""aux"":{""source"":0,""ght"":""43.581"",""eht"":""119.85743.581"",","1675932039000","1675932039000","1675935644.712448",,,,,,,,,$Format:%H$:newRecord
"20001348","20001348",09.02.,,Sonstiger Punkt,"32",Obstacle,,,,,,,"{""mode"":2,""speedKn"":""0.100"",""pdop"":""0.81"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.95"",""lon"":""13.8856738"",""oht"":""119.066"",""systime"":1675935705271,""time"":1675932104000,""hdop"":""0.50"",""lat"":""51.0031750"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""119.06643.582"",","1675932104000","1675932104000","1675935710.262853",,,,,,,,,$Format:%H$:newRecord
"20001349","20001349",09.02.,,Sonstiger Punkt,"33",Obstacle,,,,,,,"{""mode"":2,""speedKn"":""0.157"",""pdop"":""0.81"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.95"",""lon"":""13.8856924"",""oht"":""119.126"",""systime"":1675935717493,""time"":1675932116000,""hdop"":""0.50"",""lat"":""51.0031660"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""119.12643.582"",","1675932116000","1675932116000","1675935722.338129",,,,,,,,,$Format:%H$:newRecord
"20001350","20001350",09.02.,,Sonstiger Punkt,"34",Obstacle,,,,,,,"{""mode"":2,""speedKn"":""0.099"",""pdop"":""0.78"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.92"",""lon"":""13.8857997"",""oht"":""119.197"",""systime"":1675935735307,""time"":1675932134000,""hdop"":""0.48"",""lat"":""51.0031076"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""119.19743.582"",","1675932134000","1675932134000","1675935740.270893",,,,,,,,,$Format:%H$:newRecord
"20001351","20001351",09.02.,,Sonstiger Punkt,"35",Obstacle,,,,,,,"{""mode"":2,""speedKn"":""0.071"",""pdop"":""0.78"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.92"",""lon"":""13.8859059"",""oht"":""119.954"",""systime"":1675935749802,""time"":1675932149000,""hdop"":""0.48"",""lat"":""51.0030594"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""119.95443.582"",","1675932149000","1675932149000","1675935755.209408",,,,,,,,,$Format:%H$:newRecord
"20001352","20001352",09.02.,,Sonstiger Punkt,"36",ZfB1,,,,,,,"{""mode"":2,""speedKn"":""0.041"",""pdop"":""0.78"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.92"",""lon"":""13.8857356"",""oht"":""119.734"",""systime"":1675935816332,""time"":1675932215000,""hdop"":""0.48"",""lat"":""51.0031782"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""119.73443.582"",","1675932215000","1675932215000","1675935821.376768",,,,,,,,,$Format:%H$:newRecord
"20001353","20001353",09.02.,,Sonstiger Punkt,"37",ZfB2,,,,,,,"{""mode"":2,""speedKn"":""0.029"",""pdop"":""0.78"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.92"",""lon"":""13.8860437"",""oht"":""119.828"",""systime"":1675935871819,""time"":1675932271000,""hdop"":""0.48"",""lat"":""51.0030418"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""119.82843.582"",","1675932271000","1675932271000","1675935876.656841",,,,,,,,,$Format:%H$:newRecord
